No,Nomor KA,Relasi,RK,CTR,MJ,CKY,TGS,TEJ,DAR,CJT,PRP,CC,CSK,SRP,RU,SDM,JMU,PDJ,KBY,PLM,THB,Keterangan
152,1712,Thb-Rk,15:07,14:56,14:47,14:43,14:40,14:36,14:31,14:28,14:19,14:12,14:09,14:05,14:02,13:56,13:53,13:50,13:42,13:36,13:30,
153,1714,Thb-Prp,,,,,,,,,14:28,14:21,14:18,14:14,14:11,14:05,14:02,13:59,13:51,13:45,13:39,
154,1716,Thb-Rk,15:27,15:16,15:07,15:03,15:00,14:56,14:51,14:48,14:39,14:32,14:29,14:25,14:22,14:16,14:13,14:10,14:02,13:56,13:50,
155,1718,Thb-Rk,15:47,15:36,15:27,15:23,15:20,15:16,15:11,15:08,14:59,14:52,14:49,14:45,14:42,14:36,14:33,14:30,14:22,14:16,14:10,
156,1720,Thb-Prp,,,,,,,,,15:09,15:02,14:59,14:55,14:52,14:46,14:43,14:40,14:32,14:26,14:20,
157,1722,Thb-Rk,16:07,15:56,15:47,15:43,15:40,15:36,15:31,15:28,15:19,15:12,15:09,15:05,15:02,14:56,14:53,14:50,14:42,14:36,14:30,
158,1724,Thb-Rk,16:22,16:11,16:02,15:58,15:55,15:51,15:46,15:43,15:34,15:27,15:24,15:20,15:17,15:11,15:08,15:05,14:57,14:51,14:45,
159,1726,Thb-Prp,,,,,,,,,15:48,15:41,15:38,15:34,15:31,15:25,15:22,15:19,15:11,15:05,14:59,
160,1728,Thb-Rk,16:47,16:36,16:27,16:23,16:20,16:16,16:11,16:08,15:59,15:52,15:49,15:45,15:42,15:36,15:33,15:30,15:22,15:16,15:10,"Sebelumnya sebagai
KA 1727 dari Manggarai"
161,1730,Thb-Prp,,,,,,,,,16:09,16:02,15:59,15:55,15:52,15:46,15:43,15:40,15:32,15:26,15:20,
162,1732,Thb-Rk,17:07,16:56,16:47,16:43,16:40,16:36,16:31,16:28,16:19,16:12,16:09,16:05,16:02,15:56,15:53,15:50,15:42,15:36,15:30,
163,1736,Thb-Rk,17:27,17:16,17:07,17:03,17:00,16:56,16:51,16:48,16:39,16:32,16:29,16:25,16:22,16:16,16:13,16:10,16:02,15:56,15:50,
164,1738,Thb-Prp,,,,,,,,,16:48,16:41,16:38,16:34,16:31,16:25,16:22,16:19,16:11,16:05,15:59,
